rang,city,IMD,C1_S,C2_E,C3_D,C4_P,C5_M,lat,lon,Li,p_lisa,lisa_label,z_std,Wz_std
1,Nantes,0.7376,0.7855,0.8091,1.0,0.2197290679377342,0.6666666666666666,47.2184,-1.5536,-0.13083777209003114,0.908,NS,2.4992128503991986,-0.05235159224998881
2,Nancy,0.682,0.8112,0.8709,0.7837400451598415,0.2058400241623656,0.3333333333333333,48.6921,6.1844,-0.37244214071385257,0.685,NS,2.025628316378319,-0.18386499522269364
3,Rennes,0.6608,0.6312,0.8574,0.8363516835138166,0.1545542672277474,0.6666666666666666,48.1173,-1.6778,0.5603214990224211,0.479,NS,1.8450529185142421,0.30368857901031304
4,Amiens,0.6586,0.7495,0.8313,0.81714627008217,0.1945549200131371,0.3333333333333333,49.8941,2.2958,0.06990548162375072,0.934,NS,1.8263139621321203,0.03827681497990627
5,Périgueux,0.6387,1.0,1.0,0.2283344303314576,0.0644567951358046,0.3333333333333333,45.1845,0.7214,-0.1477015855786553,0.839,NS,1.6568115839483888,-0.08914808841851768
6,Carcassonne,0.6124,0.8256,0.5977,0.813886192343718,0.1279814268196054,0.3333333333333333,43.2117,2.3533,-0.17142182093737673,0.797,NS,1.432795878107577,-0.11964148107669673
7,Bordeaux,0.6078,0.3966,0.7834,0.6521667549281008,0.4168708048092928,1.0,44.8378,-0.5792,0.04574606548367133,0.934,NS,1.3936144238540504,0.03282548221419829
8,Auray,0.5966,0.5915,0.7861,0.6521667549281008,0.3921222480242716,0.3333333333333333,47.6682,-2.9834,0.2244052116262245,0.708,NS,1.298216100454161,0.17285659263332182
9,La Roche-sur-Yon,0.5965,0.6159,0.8304,0.6872919270200681,0.0,0.6666666666666666,46.6706,-1.4268,0.4017301286164706,0.487,NS,1.2973643297095192,0.30965097422280624
10,Paris,0.5858,0.4606,0.7939,0.845733899533752,0.0891111761557758,0.6666666666666666,48.8566,2.3522,0.1988461050108662,0.731,NS,1.2062248600328387,0.16484994763368807
